user_input,faithfulness,answer_relevancy,context_precision,context_recall
What is the primary training difference between DeepSeek-R1-Zero and DeepSeek-R1?,1.0,0.9949802951471002,0.3459663865477025,1.0
How does DeepSeek-R1's performance on the MATH-500 benchmark compare to OpenAI-o1-1217?,1.0,0.9949591910039325,0.841225749549736,1.0
What reinforcement learning algorithm does DeepSeek-R1-Zero use to save training costs?,0.8,0.9631405820774498,0.08888888888444443,1.0
Why did the DeepSeek team choose not to use a neural reward model for DeepSeek-R1-Zero?,1.0,1.0000000000000004,0.7742424242269393,1.0
What are the two types of rewards used in the rule-based reward system for training DeepSeek-R1-Zero?,1.0,1.0,0.8766666666491334,1.0
What was the result of applying large-scale reinforcement learning directly to Qwen-32B-Base without distillation?,0.8333333333333334,0.8566474644847075,0.6631313131202609,1.0
What are the three main limitations the DeepSeek team found when attempting to use a Process Reward Model (PRM)?,0.875,0.9552151116913623,0.9166666666513889,1.0
"How did DeepSeek-R1 perform on the AlpacaEval 2.0 benchmark, and what was its average summary length?",1.0,0.9366013693249928,0.9583333333173611,0.6666666666666666
What features does Cloudflare's AI Crawl Control offer to website operators?,1.0,1.0,0.7644444444291555,1.0
By what percentage are Cloudflare's 12th generation servers more requests-per-second per kilowatt (RPS/kW) efficient than the 11th generation?,1.0,0.9412968348635867,0.49999999995,1.0
