user_input,faithfulness_baseline,answer_relevancy_baseline,context_precision_baseline,context_recall_baseline,faithfulness_reranked,answer_relevancy_reranked,context_precision_reranked,context_recall_reranked,faithfulness_delta,answer_relevancy_delta,context_precision_delta,context_recall_delta
What reinforcement learning algorithm does DeepSeek-R1-Zero use to save training costs?,0.8,0.9631405820774498,0.0888888888844444,1.0,0.8,0.9668018797798884,0.9999999999,1.0,0.0,0.003661297702438615,0.9111111110155556,0.0
What is the primary training difference between DeepSeek-R1-Zero and DeepSeek-R1?,1.0,0.9949802951471002,0.3459663865477025,1.0,1.0,0.9949802951471002,0.999999999975,1.0,0.0,0.0,0.6540336134272975,0.0
By what percentage are Cloudflare's 12th generation servers more requests-per-second per kilowatt (RPS/kW) efficient than the 11th generation?,1.0,0.9412968348635868,0.49999999995,1.0,1.0,0.9376568787514936,0.9999999999,1.0,0.0,-0.0036399561120932233,0.49999999995,0.0
What was the result of applying large-scale reinforcement learning directly to Qwen-32B-Base without distillation?,0.8333333333333334,0.8566474644847075,0.6631313131202609,1.0,1.0,0.972501089799729,0.9166666666361112,0.0,0.16666666666666663,0.11585362531502152,0.2535353535158503,-1.0
Why did the DeepSeek team choose not to use a neural reward model for DeepSeek-R1-Zero?,1.0,1.0000000000000004,0.7742424242269393,1.0,1.0,1.0000000000000004,0.9999999999666668,1.0,0.0,0.0,0.22575757573972743,0.0
How does DeepSeek-R1's performance on the MATH-500 benchmark compare to OpenAI-o1-1217?,1.0,0.9949591910039324,0.841225749549736,1.0,1.0,0.9949475672918678,0.99999999998,1.0,0.0,-1.1623712064534608e-05,0.15877425043026405,0.0
What are the two types of rewards used in the rule-based reward system for training DeepSeek-R1-Zero?,1.0,1.0,0.8766666666491334,1.0,1.0,1.0,0.99999999998,1.0,0.0,0.0,0.1233333333308666,0.0
What are the three main limitations the DeepSeek team found when attempting to use a Process Reward Model (PRM)?,0.875,0.9552151116913624,0.9166666666513889,1.0,0.875,0.98676001430535,0.99999999998,1.0,0.0,0.03154490261398757,0.08333333332861115,0.0
"How did DeepSeek-R1 perform on the AlpacaEval 2.0 benchmark, and what was its average summary length?",1.0,0.9366013693249928,0.9583333333173611,0.6666666666666666,1.0,0.9614792144773484,0.99999999998,1.0,0.0,0.024877845152355582,0.04166666666263885,0.33333333333333337
What features does Cloudflare's AI Crawl Control offer to website operators?,1.0,1.0,0.7644444444291555,1.0,1.0,1.0,0.5333333333155555,1.0,0.0,0.0,-0.23111111111359994,0.0
